time_stamp,shop_id,pay_num,cate_2_name
2016-01-01,14,33,fast food
2016-01-02,14,35,fast food
2016-01-03,14,20,fast food
2016-01-04,14,53,fast food
2016-01-05,14,54,fast food
2016-01-06,14,53,fast food
2016-01-07,14,66,fast food
2016-01-08,14,47,fast food
2016-01-09,14,63,fast food
2016-01-10,14,40,fast food
2016-01-11,14,52,fast food
2016-01-12,14,52,fast food
2016-01-13,14,59,fast food
2016-01-14,14,59,fast food
2016-01-15,14,51,fast food
2016-01-16,14,48,fast food
2016-01-17,14,43,fast food
2016-01-18,14,56,fast food
2016-01-19,14,58,fast food
2016-01-20,14,45,fast food
2016-01-21,14,50,fast food
2016-01-22,14,44,fast food
2016-01-23,14,41,fast food
2016-01-24,14,43,fast food
2016-01-25,14,57,fast food
2016-01-26,14,60,fast food
2016-01-27,14,50,fast food
2016-01-28,14,61,fast food
2016-01-29,14,59,fast food
2016-01-30,14,48,fast food
2016-01-31,14,44,fast food
2016-02-01,14,54,fast food
2016-02-02,14,58,fast food
2016-02-03,14,75,fast food
2016-02-04,14,40,fast food
2016-02-05,14,50,fast food
2016-02-06,14,39,fast food
2016-02-07,14,12,fast food
2016-02-08,14,9,fast food
2016-02-09,14,9,fast food
2016-02-10,14,15,fast food
2016-02-11,14,25,fast food
2016-02-12,14,21,fast food
2016-02-13,14,37,fast food
2016-02-14,14,38,fast food
2016-02-15,14,42,fast food
2016-02-16,14,53,fast food
2016-02-17,14,37,fast food
2016-02-18,14,53,fast food
2016-02-19,14,46,fast food
2016-02-20,14,49,fast food
2016-02-21,14,46,fast food
2016-02-22,14,39,fast food
2016-02-23,14,42,fast food
2016-02-24,14,45,fast food
2016-02-25,14,58,fast food
2016-02-26,14,64,fast food
2016-02-27,14,56,fast food
2016-02-28,14,74,fast food
2016-02-29,14,66,fast food
2016-03-01,14,51,fast food
2016-03-02,14,57,fast food
2016-03-03,14,52,fast food
2016-03-04,14,54,fast food
2016-03-05,14,65,fast food
2016-03-06,14,53,fast food
2016-03-07,14,74,fast food
2016-03-08,14,50,fast food
2016-03-09,14,52,fast food
2016-03-10,14,57,fast food
2016-03-11,14,75,fast food
2016-03-12,14,55,fast food
2016-03-13,14,50,fast food
2016-03-14,14,61,fast food
2016-03-15,14,59,fast food
2016-03-16,14,49,fast food
2016-03-17,14,31,fast food
2016-03-18,14,59,fast food
2016-03-19,14,63,fast food
2016-03-20,14,53,fast food
2016-03-21,14,64,fast food
2016-03-22,14,56,fast food
2016-03-23,14,74,fast food
2016-03-24,14,50,fast food
2016-03-25,14,68,fast food
2016-03-26,14,79,fast food
2016-03-27,14,74,fast food
2016-03-28,14,83,fast food
2016-03-29,14,71,fast food
2016-03-30,14,54,fast food
2016-03-31,14,38,fast food
2016-04-01,14,56,fast food
2016-04-02,14,50,fast food
2016-04-03,14,55,fast food
2016-04-04,14,55,fast food
2016-04-05,14,71,fast food
2016-04-06,14,58,fast food
2016-04-07,14,55,fast food
